Cluster,Project Title,Project Partners,Project Type,Global Innovation Clusters Funding (M),Total Project Value (M),Date of Announcement,Project Location
Digital Technology Cluster,"Scaling and adoption for AI-based medtech ventures Scale AI's Acceleration program provides funding to accelerators and incubators to support the growth of AI startups and SMEs across Canada. The Cluster is investing in MEDTEQ based in Montreal. This is a support program for technology companies (AI, logistics, IT, 4.0) that are active in Canada's health supply chains, and/or who can drive disruptive innovations therein. It is a flexible program, addressing the innovation, commercialization, legal and data management challenges, and adapting to each start-ups/SMEs' degree of maturity.",MEDTEQ,General,0.18,0.18,04/04/2023,"Montreal, QC"
Digital Technology Cluster,"Momentum Scale AI's Acceleration program provides funding to accelerators and incubators to support the growth of AI startups and SMEs across Canada. The Cluster is investing in the MAIN - Mouvement des accélerateurs d'innovation du Québec based in Quebéc. Through PMEit, MAIN aims to accelerate investments and increase the turnover and access to financing of the companies it supports. PMEit proposes an innovative management approach based on collaboration and the pooling of resources.",MAIN - Mouvement des accélérateurs d'innovation du Québec,General,0.12,0.14,04/04/2023,"Quebec City, QC"
Digital Technology Cluster,"Thales AI@Centech Scale AI's Acceleration program provides funding to accelerators and incubators to support the growth of AI startups and SMEs across Canada. The Cluster is investing in Thales, based in Montreal. Run by Thales in cooperation with Centech, this program aims to accelerate startups by giving them guidance and access to Thales' expertise and technological platforms to co-build cutting-edge solutions.",Thales,General,0.07,0.6,04/04/2023,"Montreal, QC"
Digital Technology Cluster,"The DMZ - Supply AI Program Scale AI's Acceleration program provides funding to accelerators and incubators to support the growth of AI startups and SMEs across Canada. The Cluster is investing in The DMZ (Toronto Metropolitan University) based in Toronto. With a focus on AI-powered supply chains the DMZ is introducing a specialized remote program to support Canada's entrepreneurs in the place they call home. The DMZ's Supply AI program incubates and accelerates AI startups that are otherwise limited by geography, and works to increase Canada's capacity to support the growth of AI ventures.",Toronto Metropolitan University - The DMZ,General,0.4,2.3,04/04/2023,"Toronto, ON"
Digital Technology Cluster,"North of AI -- Learning and Business Accelerator Scale AI's Acceleration program provides funding to accelerators and incubators to support the growth of AI startups and SMEs across Canada. The Cluster is investing in Tech Yukon, based in Whitehorse. The main areas of focus for this program is to promote and grow the local tech industry, provide skill development and training opportunities around AI and machine learning, support local tech entrepreneurs, and support other industries with supply chain challenges. Support will be provided to industry led projects aimed at fast-tracking the adoption and commercialization of AI for supply chains.",TechYukon,General,0.06,0.35,04/04/2023,"Whitehorse, YT"
Digital Technology Cluster,ventureLAB Accelerate AI (VAAI) Scale AI's Acceleration program provides funding to accelerators and incubators to support the growth of AI startups and SMEs across Canada. The Cluster is investing in the ventureLAB Innovation Centre based in Markham. ventureLAB's Accelerate AI program (VAAI) supports growing and scaling Canadian AI hardware and software startups in the supply chain industry.,ventureLAB Innovation Centre,General,0.25,0.62,04/04/2023,"Markham, ON"
Digital Technology Cluster,"Plug and Play Supply Chain & Logistics Scale AI's Acceleration program provides funding to accelerators and incubators to support the growth of AI startups and SMEs across Canada. The Cluster is investing in Plug & Play Innovation Canada Inc. based in California. Plug and Play is an open innovation platform that will be connecting Canadian entrepreneurs with local businesses and industries. Greater Toronto is home to a growing hub of startups, which Plug and Play Canada is looking to identify, support, and accelerate through its vast global network of entrepreneurs, mentors, VCs, and corporate decision makers. Key focus areas of Plug and Play Canada include the fields of Artificial Intelligence in Supply Chain & Logistics.",Plug and Play Innovation Canada Inc.,General,0.18,1.12,04/04/2023,"Mississauga, ON"
Digital Technology Cluster,"Co.Labs Scale AI's Acceleration program provides funding to accelerators and incubators to support the growth of AI startups and SMEs across Canada. The Cluster is investing in Co.Labs based in Saskatoon. Co.Labs is designed to identify high-potential founders with a validated software- or hardware-based technology, and provide all the tools and contacts they need to raise investment, improve product-market fit, get the right team in place, and ultimately scale their respective companies to $1 million in annual recurring revenue. Co.Labs would use Scale AI support to establish a network of contacts and mentors in the AI research and supply chain/logistics spaces, then contract these individuals to work intensively with eligible early-stage entrepreneurs and teams at Co.Labs toward solving complex problems related to product development and commercialization.",Co.Labs,General,0,0.18,04/04/2023,"Saskatoon, SK"
Digital Technology Cluster,"Guay - Crane Allocation Optimization This intelligent dispatch project addresses the optimization of crane and operator dispatch on different contracts. With the help of artificial intelligence, Guay has developed a solution that allows it to address several issues in the dispatching of its personnel and equipment, in complex bids as well as in the prediction of service demand.","Guay, QSL, Vooban, Toitures Falardeau",General,2.93,8.56,02/13/2023,"Quebec City, QC"
Digital Technology Cluster,"Routeique AI-Enabled Warehouse Digital Twin This project will focus on orchestrating warehouse operations to maximize warehouse efficiency across three interconnected use cases; space use optimization, pick route optimization and sequencing, and demand forecasting and sensing.","Routeique, Big Rock Brewery, Amii - Alberta Machine Intelligence Institute",General,1.34,3.55,02/13/2023,"Calgary, AB"
Digital Technology Cluster,"Supply Chain AI for Circular Manufacturing Feedstock Solution The projects key goal will be to develop an AI-based supply chain solution to source feedstock in the appropriate quantity, quality, and blend to allow for the circular manufacturing of virtually all types and blends of plastics.","Macrodyne Technologies, ReGen Composites, Simwell Consulting & Technologies Inc., Les Technologies MOOVAI, Institute Intelligence and Data (IID)",General,2.2,5.28,02/13/2023,"Concord, ON"
Digital Technology Cluster,"MDI x AI This project will assist in propelling its market position in potato processing and packaging, McCain will be developing and deploying an integrated set of digital tools that connect its supply chain partners, from potato growers to finished goods at the customer level. These tools will be powered by AA/AI and will be leveraged throughout factories and in varying use cases to increase supply chain transparency, food quality and safety, and to enhance employee safety.","McCain Foods, The Boston Consulting Group, Fiddlehead Technology, Lemay.ai, Tribal Scale, Dalhousie University, Gaia Consulting, Ross Culberson Farms, Riverview Farms, Valley Farms, Killoween Farms",General,8.46,35.88,02/13/2023,"Florenceville, NB"
Digital Technology Cluster,"CTC - Promotion Optimization This project will explore different ways of helping Canadian Tire Corporation find efficient ways to increase incremental sales and margin for all products, by applying AI-powered technologies in the promotional initiatives of the business. The proposed framework focuses on a foundational first use case that will use ML and AI to evaluate the performance of promotional plans for groups of products.","Canadian Tire Corporation, IVADO Labs, Shakudo",General,3.49,8.03,02/13/2023,"Toronto, ON"
Digital Technology Cluster,Aircraft Parts Affinity Recommendation with AI This project will allow Bombardier to represent national capabilities in aerospace and AI and position them to share their non-competitive insights and knowledge with research organizations such as NERC. This could foster further improvement in the methodologies developed through research programs funded through the benefits generated by the present project's results.,"Bombardier, IVADO Labs, Xennial Innovation",General,1.46,3.63,02/13/2023,"Montreal, QC"
Digital Technology Cluster,"Intelligent structural steel design and estimating system This project will standardize, digitize and automate the cost estimation process by leveraging the technological advances of our era to create an Intelligent Structural Steel Design and Estimating System","Canam Group, Les Technologies MOOVAI, CICIEM (Concordia University), Read Jones Christoffersen, McIntosh Perry",General,1.07,2.76,02/13/2023,"Boucherville, QC"
Digital Technology Cluster,"AI to augment capabilities in early issue handling Leveraging proven AI methods, this project aims to provide digital tools to experts to maximize early design problem solving to avoid cost overruns and optimize planning and effort.","BIM One, Les Technologies MOOVAI, Groupe Nexapp",General,0.91,2.61,02/13/2023,"Lévis, QC"
Digital Technology Cluster,AI-Powered Experience and Profit Optimization The projects key goal is to increase the overall basket profitability through increased revenue and margins while minimizing the costs of these supply chain activities by providing product recommendations that consider supply chain impacts.,"Coveo, IVADO Labs, Metro, Boulangerie Humanité",General,9.25,25.31,02/13/2023,"Montreal, QC"
Digital Technology Cluster,"Recommendation engine for ancillary upgrade system This project aims to elevate how airlines capture incremental revenues with the development of AI-based solutions such as virtual assistants. The result is intended to be positive customer experiences and clear returns on investments. With the introduction of a virtual assistant, airlines will be able to yield more potential revenues and, through a diversification of their revenue sources, the ability to generate ancillary revenue will increase the financial performance and stability of airlines.","plusgrade, Air Canada, Air Transat",General,1.81,5.22,11/14/2022,"Montréal, QC"
Digital Technology Cluster,"Trade Promo Optimization This projects main objective is to provide an end-to-end promotion optimization recommendation engine to help the consortium members increase their ability to accurately predict consumer reaction to pricing and promotions, creating seamless integration between suppliers, retailers and the analytics ecosystem.","Larus Technologies Corporation, Theory & Practice, Southern Ontario Smart Computing for Innovation Platform, Unilever Canada, Federated Co-operatives Limited (FCL",General,0.77,2.63,11/14/2022,"Toronto, ON"
Digital Technology Cluster,Supply Chain Intelligence Platform for SMEs This project will develop predictive models around supply chain network risk. The AI solutions will allow SME users to understand better their supply chain risk through a single score.,"Freshbooks, MiSCAN Lab, BeneComm Inc., Oligomaster",General,0.95,2.84,11/14/2022,"Toronto, ON"
Digital Technology Cluster,"Healthcare 4.0: Geospatial Tool to Match Patient Demand with Caregiver Supply The project, with the development of three independent AI solutions, SE Health Care will overcome three interconnected barriers in its currently inefficient processes of resource planning and coordination. These AI solutions include: (i) patient demand forecasting, (ii) caregiver assignment to regional demand by optimizing regional workforce boundaries, and (ii) matching patients to qualified staff by automating and optimizing scheduling.","Saint Elizabeth Health Care, Deloitte LLP, MarkiTech Inc., Plotly Technologies In., Manifold Data Mining Inc.",General,1.78,6.04,11/14/2022,"Toronto, ON"
Digital Technology Cluster,"Improving Price Efficiency through AI-based Pricing and Costing This project will implement AI solutions that will sift through all the data collected by Day & Ross (load optimization, shipment details, recent spot quote prices, customer segmentation, etc.) to generate quotes with dynamic margins that are tailored to the specific attributes of the request. This project will allow Day & Ross to deliver personalized experiences by providing more consistent and equitable prices for its customers. Day & Ross' pricing systems will be the main testbeds for the AI solutions; however, all partners will share in the benefits of growth, increased capabilities, knowledge, and reputational advantage.","Day & Ross, Deloitte Inc., MoovAI Technologies Inc., Gardewine Group Inc., Freightcom Inc.",General,1.87,4.77,11/14/2022,"Hartland, NB"
Digital Technology Cluster,"Adaptive optimization of surgery schedules post COVID-19 peaks (COVID-19 Project) Forecasting and optimizing surgery schedules with a predictive and prescriptive decision support solution for the central operating room booking team, that will recommend a joint optimized schedule for all of MUHC surgeons while leveraging statistical models to account for constraints such as beds availability, overtime risk and shared resources. Additionally, a separate simulation-based tool will be developed to help MUHC as a strategic decision support system and guide longer horizon strategic decisions by leveraging statistical information on historical data and patient backlogs.",McGill University Health Centre,COVID-19,1.5,1.94,10/05/2022,"Montreal, QC"
Digital Technology Cluster,"Holistic grocery promo optimization suite This project leverages predictive and prescriptive AI to allow stakeholders to experiment with new promotions and pricing approaches, involving selection and optimization. This approach provides opportunities for improvement, to maximize the impact of promotions, improve promotion planning, in turn providing more visibility and opportunities to suppliers, and providing a more tailored experience to customers.","Loblaws, Flipp, IVADO Labs",General,1.6,3.99,10/05/2022,"Brampton, ON"
Digital Technology Cluster,Apollo.AI This project aims to leverage AI technologies to redefine project partners quoting and order management experience for both their internal users and clients. The project will develop a decision support system to automate the logistics services quoting process. This system aims to better serve customers and facilitate interactions within the organization.,"Ray-Mont Logistics International, FaimData, Ivado Labs, Volume Freight Solutions Inc.",General,0.96,2.49,08/22/2022,"Montréal, QC"
Digital Technology Cluster,"Canard Bleu This project, endeavors to connect supply chain members through a central financial institution (TD), enabling members to optimize AI capabilities in supply chain visibility and collaboration without the need of sharing identifiable data, as privacy is key in this context. The project will demonstrate how the data portability protocol can be leveraged by a global logistics firm through a Supply Chain Finance (SCF) use case.","Flybits, TD Bank Group, CEVA Freight Canada Corp., mimik, Toronto Metropolitan University",General,2.06,9.25,08/22/2022,"Toronto, ON"
Digital Technology Cluster,"Self-Learning Route Optimization This project is a route optimization platform for SME delivery businesses. Projects partners will reduce their fleet's mileage and fuel consumption by 20%~30%. This project, will use ML models to incorporate traffic into proprietary route optimization algorithm and leverage AI to make this routing platform more intelligent.","Routific Solutions, Flashbox, Flourist",General,0.97,2.44,08/22/2022,"Vancouver, BC"
Digital Technology Cluster,"AI for Exploration and Development of Critical Raw Materials This project will bring together Calgary-based technology SME Enersoft with several mining companies including heavyweights Rio Tinto and Agnico Eagle as well as relevant Government agencies, to develop ML models using new high-resolution multi-sensor machine vision rock scan data to allow for faster, more precise, and more cost-effective analysis of core samples.","Enersoft (GeologicAI), Kirkland Lake Gold, Casino Mining Corporation, Fireweed Zinc, Tech-X Resources, Yukon Geological Survey, Ontario Geological Survey",General,1.63,7.11,08/22/2022,"Calgary, AB"
Digital Technology Cluster,"Production and Optimization of Rental Assets Stock and Transportation The goal of this project is to increase the availability of products for its customers, in the right quantities and at the right locations, through the development of advanced technology capabilities for critical asset management that will strengthen its contribution to the enterprise supply chain through the following predictive and decision support approaches: Improving annual inventory planning and Estimation of optimal parameters for all shipments.","Simplex Equipment Rental, Mind in a box, CGI, Maya HTT, Équipements Mathieu, Construction Bugère",General,1.05,2.67,08/22/2022,"Montréal, QC"
Digital Technology Cluster,"Supply Chain Insights & Optimization This project is to improve purchasing and sales decisions across AMG's supply chain to improve business performance. The proposed solution integrates with AMG's existing technology solutions to provide better insights to decision-makers across the organization. This solution focuses on four key areas: Customer segmentation to improve sales forecasts, product development, and marketing across channels. Multi-channel rolling sales prediction for 2-year time horizon.","AMG Medical, KPI Digital, Alpine Pacific Agencies, GDK Marketing Inc",General,0.75,2.35,08/22/2022,"Montreal, QC"
Digital Technology Cluster,"Project Galactic This project will give an edge to smaller Canadian retailers, empowering these SMEs to level the playing field of larger competitors through best-in-class product search and discoverability capabilities usually only attainable through major capex investments. This will allow their product catalogues to be searchable, their products to be found by consumers, and those products to be purchased in-store and online.","Ravel by CF, Coveo Solutions Inc., Gensquared Inc., Konrad Group Inc., Matt and Nat SE, The Silver Mountain LTD, QE Home | Quilts Etc., Ann-Louise Jewellers Ltd.",General,1.13,5.33,08/22/2022,"Toronto, ON"
Digital Technology Cluster,"The DAL-IA This project aims to develop a solution that prevents inventory run-out in hospitals through improved consumption forecasting of more than 50,000 essential products. The solution will also offer availability predictions regarding potentially delayed or incomplete orders. It will be incorporated into Logibec's existing material resource management solution, already in use in more than 70% of healthcare facilities in Quebec.","Logibec, CHUM, Moov AI, Chair in Analytics and Logistics in Healthcare (HANALOG)",General,1.89,5.65,08/22/2022,"Montreal, QC"
Digital Technology Cluster,"AI-Powered Vehicle Operations Suite This project, through a combination of technology and empowered customer service enables consumers to shop, purchase, finance and sell vehicles entirely online.","Canada Drives, Canadian Black Book, Infostrux Solutions, UBC Sauder School of Business, ProCogia",General,0.88,2.22,08/22/2022,"Vancouver, BC"
Digital Technology Cluster,"Supply Chain Optimization Platform The project will improve retail customer experience by leveraging datasets that provide information related to historical purchase trends, seasonality, market variances, other customer purchase patterns. Adastra will commercialize the expertise developed and reusable technical components of the workflows that can be adapted/customized to other logistics and manufacturing clients, while Taiga will retain the business-specific context, trained models, and optimization model definitions/constraints.","Adastra, Standard Building & Supplies, Taiga Building Products",General,1.08,2.8,08/22/2022,Multiple Locations
Digital Technology Cluster,ML Tool for Supply Policies The project hopes to improve operations related to inventory and supply management.,"Logistik Unicorp, InMind, SimWell, Ville de Montréal, Dristex, Polytechnique Montréal",General,0.55,1.46,08/22/2022,"Saint-Jean-Sur-Richelieu, QC"
Scale AI Cluster,"Improving Save-On-Foods Supply Chain Through AI-Based Demand Forecasting This project will build and integrate several AI solutions to develop a demand forecasting model with the overall goal of ensuring the right products are in the right place, at the right price for their customers. Additionally, an optimization algorithm will automate scheduling of ecommerce deliveries to improve productivity and align with customer demand.","Save on Foods, D-Wave Systems, ThoughtsWin Systems, White Box Analytics, OpsGuru, Deloitte",General,2.77,7.19,08/22/2022,"Vancouver, BC"
Advanced Manufacturing Cluster,Factory 4.0: Robotics and Digitalization for Modular Wood Construction,"Habitations Mont-Carleton Inc., Société de Développement Angus, Provencher_Roy, L2C Consulting Experts",General,2.09,6.34,03/21/2025,"Quebec City, QC"
Advanced Manufacturing Cluster,Next Generation Rapid Modular Housing Facility,"BECC Modular, Skye Automation Inc.",General,1.57,4.37,03/21/2025,"Ancaster, ON"
Advanced Manufacturing Cluster,Newton Group Advanced Manufacturing for Affordable Home Building,"Newton Group Ltd., Linamar Innovation Hub, Home Opportunities",General,4.95,15,03/21/2025,"Guelph, ON"
Advanced Manufacturing Cluster,Scaling Housing Supply Via Mass Timber Urban Housing Platforms,"Intelligent City, RDH Building Science, ABB Robotics Canada, 722 The Queensway Development GP Inc.",General,0.81,2.46,03/21/2025,"Toronto, ON"
Advanced Manufacturing Cluster,Sakku Innovative Building Solutions,"Sakku Properties Ltd., Sakku Innovative Building Solutions, RG Solution",General,3.42,9.02,03/21/2025,"Arviat, NU"
Advanced Manufacturing Cluster,"Robotics for Scalable, Net-Zero Affordable Housing","CABN CO Ltd., North American Ltd., CABN Install (Brockville, Ontario)",General,2.46,6.83,03/21/2025,"Brockville, ON"
Advanced Manufacturing Cluster,GeoHome: Advanced Manufacturing of Geodesic Permanent Homes for Rapid Building,"Arctic Acres, Ashgroup",General,3.14,1.19,03/21/2025,"Portland, ON"
Advanced Manufacturing Cluster,Advanced Digital Manufacturing for Mass Timber Construction,"Serotiny Group, Terrace Manor Limited, Cube Building Systems",General,2.56,7.78,03/21/2025,"Toronto, ON"
Advanced Manufacturing Cluster,Deploying Replicable Micro-Factories for Affordable Prefabricated Housing,"DayLun, Bathurst Developments",General,1.66,4.37,03/21/2025,Multiple Locations
Advanced Manufacturing Cluster,"Optimizing 3D Printing: Speed, Productivity & Sustainability with Smart Sensors","Giatec Scientific Inc., Printerra Inc.",General,2.63,7.99,03/21/2025,"Ottawa, ON"
Advanced Manufacturing Cluster,IGV-Nexus,"IGV-Nexus, Offsite Focus Consulting",General,5.36,9.54,03/21/2025,"Ucluelet, BC"
Advanced Manufacturing Cluster,Changing Housing Construction Paradigms,"SOKÏO Industrie, Genius Consulting Group Inc., Preverco",General,1.08,3.02,03/21/2025,"Quebec City, QC"
Advanced Manufacturing Cluster,Quantum Simulations for Materials Discovery,"OTI Lumionics Inc., Nord Quantique",NQS,1.95,4.99,08/13/2024,"Toronto, ON"
Advanced Manufacturing Cluster,Advanced manufacturing processes for EV power electronics heat exchangers,"Dana Canada Corporation, KA Imaging",General,2.95,7.99,08/13/2024,"Oakville, ON"
Advanced Manufacturing Cluster,Lithium-Ion Battery Innovations and Integrated Systems for Next Gen EVs,"Flex-Ion Battery Innovation Center, a division of Ventra Group Co., SPM Automation",General,2.95,7.99,08/13/2024,"Windsor, ON"
Advanced Manufacturing Cluster,Recycling of Graphite from Secondary Sources for use in Lithium Ion Batteries,"Green Graphite Technologies Inc,; Calumix Technologies Inc",General,1.25,3.39,08/13/2024,"Kingston, ON"
Advanced Manufacturing Cluster,Sustainable Copper Oxide for Lunar Applications,"Destiny Copper, Canadian Space Mining Corporation",General,1.15,2.31,08/13/2024,"Thorold, ON"
Advanced Manufacturing Cluster,Automated Task Learning Technology for Easy and Fast Setup of Autonomous Robots,"Guidebolt Inc., Lauer Machine & Mfg. Ltd.",General,0.25,0.5,08/13/2024,"Mississauga, ON"
Advanced Manufacturing Cluster,One Pot Reactor Optimization,"Nano One, Chemetics Inc",General,2.96,11.58,08/13/2024,"Burnaby, BC"
Advanced Manufacturing Cluster,Sustainable and High-Performance Fuel Cells used in EVMPs,"Plasmagear, Ionomr Innovations Inc.",General,2.91,7.87,08/13/2024,"Montreal, QC"
Advanced Manufacturing Cluster,Manufacturing of 3D Packaging for QPUs,"Anyon Systems Inc., Centre de Collaboration MiQro Innovation (C2MI)",NQS,1.25,3.12,08/13/2024,"Bromont, QC"
Advanced Manufacturing Cluster,APPLIQC (Advanced Processes using Pulsed Lasers for Integrated Quantum Chips),"Femtum Inc., WhalePiX Inc., Solution Novika",NQS,2,5,08/13/2024,"Quebec City, QC"
Advanced Manufacturing Cluster,Manufacturing of multisite atomic force microscopy for quantum device metrology,"ICSPI Corp., Applied Nanotools Inc.,",NQS,0.4,1,08/13/2024,"Waterloo, ON/ Edmonton, AB"
Advanced Manufacturing Cluster,Manufacturing of nano alumina dopped with Rare Earth Elements,"AEM Technologies Inc., NeoCtech",General,0.25,0.25,08/13/2024,"Montreal, QC"
Advanced Manufacturing Cluster,UGPS for space exploration,"ApoSys Technologies, Cheetah Networks",General,0.25,0.5,08/13/2024,"Mississauga, ON"
Advanced Manufacturing Cluster,Swarm Construction,"Canadian Space Mining Corporation, Mission Control Space Services Inc",General,0.25,0.5,08/13/2024,"Toronto, ON"
Advanced Manufacturing Cluster,Characterization and Presentation of Critical Minerals Reserves and Assets,"Sayona inc., MayaHTT",General,0.13,0.27,08/13/2024,"Montreal, QC"
Advanced Manufacturing Cluster,Gas Oscillation Superplastic Forming Technology Full Demonstration,"AEM Power Systems, Macrodyne",General,2.9,7.85,02/08/2024,"Windsor, ON"
Advanced Manufacturing Cluster,Advanced Biomanufacturing of Cartilage Implants using Cocoon Automation,"Octane, B.Braun, The Centre for the Commercialization of Cancer Immunotherapies, The Orthopaedic Centre of Innovation",General,2.88,7.79,02/08/2024,"Kingston, ON"
Advanced Manufacturing Cluster,Advanced Tool Manufacturing for Critical Hydrogen Fuel Cell Components in Canada,"Precision Resource Canada (PRC), Miltera Machining Research Corp (Miltera)",General,2.96,8,02/08/2024,"Cambridge, ON"
Advanced Manufacturing Cluster,Implementing CarbiCrete's Cement-Free Concrete Technology at Canal Block,"CarbiCrete, Canal Block",General,2.96,8.3,02/08/2024,"Port Colborne, ON"
Advanced Manufacturing Cluster,Recycling and production of Rare-earth oxides from permanent magnet scrap,"Geomega, NeoCtech",General,2.96,8,02/08/2024,"Saint-Hubert, QC"
Advanced Manufacturing Cluster,Transformative and Fully Integrated Digital Solution for Food Manufacturing,"Food Processing Solutions (FPS), Saint Germain Bakery (SGB)",General,1.08,2.93,02/08/2024,"Richmond, BC"
Advanced Manufacturing Cluster,Metal Additive Manufacturing of Next-Gen Biomedical Lattice,"Orthopaedic Innovation Center, Numalogics, OrthoPediatrics Canada, Pega Medical",General,0.99,2.69,02/08/2024,"Winnipeg, MB"
Advanced Manufacturing Cluster,Advanced Production Scheduling Optimization System,"Panevo, Saputo",General,1.09,2.96,02/08/2024,"Vancouver, BC"
Advanced Manufacturing Cluster,Scaling of Autonomous Navigation Sensors through Photonic Wirebonding,OSCPS Motion Sensing Inc.; AEPONYX,General,0.71,1.93,02/08/2024,"Montreal, QC"
Advanced Manufacturing Cluster,Recombinant Collagen Fiber Manufacturing Consortium,"PlantForm, 3D BioFibR",General,1.26,3.59,02/08/2024,Multiple Locations
Advanced Manufacturing Cluster,Micro-Factory Deployment and Integration Project (MDIP),"Microart, Wrmth, Mosaic Manufacturing",General,2.95,7.97,02/08/2024,"Toronto, ON"
Advanced Manufacturing Cluster,Canadian Magnesium Cement Boards (MCB),"ZS2 Technologies Ltd., Progressive Planet, Falkbuilt Ltd., LithiumBank Resources Corp., Occam's Technologies Inc.",General,2.76,7.46,02/08/2024,"Calgary, AB"
Advanced Manufacturing Cluster,Discrete Manufacturing Assembly Transformation,"Price Industries Ltd., mode40, Innovair Automation",General,2.95,7.99,02/08/2024,"Winnipeg, MB"
Advanced Manufacturing Cluster,Enabling Advanced Therapeutics & Domestic Supply Chain for Biomanufacturing,"CCRM (Centre for Commercialization of Regenerative Medicine), OmniaBio Inc., Global Life Sciences Solutions Canada ULC, BioVectra Inc., Northern RNA Inc., Precision NanoSystems ULC Inc",General,2.96,8,02/08/2024,Multiple Locations
Advanced Manufacturing Cluster,PTAAM Robotic Additive Manufacturing System,"Canadian Innovative Materials Ltd., Suncor Energy Inc., Manluk Mining",General,2.96,8,02/08/2024,"Edmonton, AB"
Advanced Manufacturing Cluster,Digital Manufacturing Production Al Engine (Vertex3D-Al) (PCAIS Project),"Mosaic Manufacturing Ltd., Matter and Form Inc.;, Innovation AI",PCAIS,2.15,6.15,11/07/2023,"Toronto, ON"
Advanced Manufacturing Cluster,"Smart, Connected and Collaborative Canadian Robotic Framework (PCAIS Project)","Kinova Inc., Linamar Corporation, Labforge Inc., Inertia Manufacturing",PCAIS,2.59,7.41,11/07/2023,"Boisbriand, QC"
Advanced Manufacturing Cluster,Al-enabled Autonomous Manufacturing Equipment (PCAIS Project),"Linamar Corporation, Cyberworks Robotics",PCAIS,1.58,4.51,11/07/2023,"Guelph, ON"
Advanced Manufacturing Cluster,Next Generation Factory Acceptance Test (PCAIS Project),"Ballard Power Systems Inc., Acerta Analytics Solutions Inc",PCAIS,1.12,3.2,11/07/2023,"Burnaby, BC"
Advanced Manufacturing Cluster,"A Flexible, Scalable Al Manufacturing Quality System (PCAIS Project)","Lantern Machinery Analytics Inc., e-Zinc. Inc.",PCAIS,1.21,3.48,11/07/2023,"Vancouver, BC"
Advanced Manufacturing Cluster,Al/Machine Vision Quality Control (PCAIS Project),"Keirton Inc., Organigram Inc.",PCAIS,1.23,3.52,11/07/2023,"Surrey, BC"
Advanced Manufacturing Cluster,Al in Manufacturing for the World's First Digital Gynecology Platform (PCAIS Project),"Cosm Medical Corp., Hamilton Health Sciences Corp., Emerson Media Inc., Objex Unlimited Inc.",PCAIS,1.2,3.44,11/07/2023,"Toronto, ON"
Advanced Manufacturing Cluster,Using Al to Fast-Track Electrochemical Technology Developments (PCAIS Project),"Ayrton Energy Inc., Pulsenics",PCAIS,1.65,4.71,11/07/2023,"Calgary, AB"
Advanced Manufacturing Cluster,An Al-Enabled Robotic Solution for Building Component Prefabrication (PCAIS Project),"Promise Robotics, Landmark Group of Companies Inc.",PCAIS,2.2,6.54,11/07/2023,"Toronto, ON"
Advanced Manufacturing Cluster,High Speed Al Powered 3D Inspection (PCAIS Project),"Apera Al Inc., Stronach Centre for Innovation",PCAIS,1.57,4.88,11/07/2023,"Vancouver, BC"
Advanced Manufacturing Cluster,Enhanced Al Traceability for Manufacturing (PCAIS Project),"Linamar Corporation, Acerta Analytics Solutions Inc.",PCAIS,1.02,2.93,11/07/2023,"Guelph, ON"
Advanced Manufacturing Cluster,Al-driven digital twins to accelerate and enhance life science manufacturing (PCAIS Project),"Basetwo Artificial Intelligence Inc., Resilience Biotechnologies Inc., Genecis Bioindustries",PCAIS,1.54,4.42,11/07/2023,"Toronto, ON"
Advanced Manufacturing Cluster,3D Vision Guided Robotic Assembly,"Apera Al Inc. (was Vancouver Computer Vision Ltd.), Stronach Centre for Innovation, a division of Magna International Inc.",General,1.02,2.3,03/27/2023,"Vancouver, BC"
Advanced Manufacturing Cluster,A Vertically Integrated Canadian Ecosystem for the Production of Novel Scandium Aluminum Alloys for 3-D Printing,"Imperial Mining Group, Fusia Groupe",General,0.83,2.6,03/27/2023,"Montreal, QC"
Advanced Manufacturing Cluster,Automated Defect Inspection,"Linamar, 2CM Innovative, AIS Technologies Group Inc.",General,1.28,2.89,03/27/2023,"Guelph, ON"
Advanced Manufacturing Cluster,Factory of the future,"Linamar, ABB Robotics, Ferro Technique, Eclipse Automation, McMaster University, National Research Council Canada (NRC), University of Toronto, University of Waterloo, University of Western Ontario, Vector Institute",General,2.72,6.12,03/27/2023,"Guelph, ON"
Advanced Manufacturing Cluster,TaComp: Global First Advanced Process for Lightweight Part Manufacturing,"Marwood International Inc., Aerlyte, Dieffenbacher North America",General,2.49,5.76,03/27/2023,"Tillsonburg, ON"
Advanced Manufacturing Cluster,"Predictive Maintenance and AI Driven Smart Welding/Zero Downtime, Zero Defects and Output Optimization","Polyalgorithm Machine Learning (Poly ML), Martinrea Automotive Inc.",General,0.86,1.98,03/27/2023,"Woodbridge, ON"
Advanced Manufacturing Cluster,Electro-Photonics Integrated Circuit (EPIC) Manufacturing,"Ranovus Inc., Jabil Canada",General,3.47,7.8,03/27/2023,"Ottawa, ON"
Advanced Manufacturing Cluster,MixFlow Advanced AI Plastics Processing,"Redetec, Optima Colour",General,0.79,1.82,03/27/2023,"Toronto, ON"
Advanced Manufacturing Cluster,Large Scale Industrialization of the 'Flash Joule Heating' Graphene Manufacturing Process,"Universal Matter Inc., Cobionix Corporation, Hatch Ltd, Kinectrics Inc.",General,3.42,10.26,03/27/2023,"Burlington, ON"
Advanced Manufacturing Cluster,Optimizing Medical Device Remanufacturing Process,"Baxter, Cheme Engineering, Technology Trace",General,0.59,1.33,03/27/2023,"Mississauga, ON"
