Cluster,Project Title and Description,Project Partners,Project Type,Global Innovation Clusters Funding (M),Total Project Value (M),Date of Announcement,Project Location
Advanced Manufacturing Cluster,An Al-Enabled Robotic Solution for Building Component Prefabrication (PCAIS Project),"The proposed project aims to develop an AI-enabled computer-aided manufacturing (CAM) pipeline to automate component design and production control processes. The project will help to address the housing supply challenge in Canada by enabling the adoption of advanced manufacturing technology in the housing industry. By implementing Promise Robotics' robotic automation technology in an operational manufacturing facility, the project will become a pivotal step for the company to commercialize the technology and enter the market as a deep-technology partner and AI solution provider to North American homebuilders -- ultimately benefitting society with more affordable and sustainable housing for Canadians.","Promise Robotics, Landmark Group of Companies Inc.",2.2,6.54,11/07/2023,"Toronto, ON"
Advanced Manufacturing Cluster,High Speed Al Powered 3D Inspection (PCAIS Project),This project will address the issues around 3D inspection of the parts coming out of the production machines. The project aims to develop an AI powered inspection system that checks the parts coming out of the production machine and would identify the defective parts so that it could be removed either using a robot or any other means. It would significantly reduce the cost of dealing with defects further down the assembly line as it will catch the issue early. It will also increase productivity due to elimination of micro stops.,"Apera Al Inc., Stronach Centre for Innovation",1.57,4.88,11/07/2023,"Vancouver, BC"
Advanced Manufacturing Cluster,Enhanced Al Traceability for Manufacturing (PCAIS Project),"This project will develop an industrial AI system which is saleable for development in a Canadian manufacturing environment to optimize web-based traceability. The industry 4.0 smart manufacturing collaboration will take Linamar Machine Monitoring System from an antiquated control-based system to the latest advanced Edge technology. This would allow a Structured Query Language (SQL) database access for Acerta Analytics Solutions Inc. to provide actionable insights into complex product and production data, particularly relationships and patterns, which will alert users of issues.","Linamar Corporation, Acerta Analytics Solutions Inc.",1.02,2.93,11/07/2023,"Guelph, ON"
Advanced Manufacturing Cluster,Al-driven digital twins to accelerate and enhance life science manufacturing (PCAIS Project),"The objective of the project is for all participating companies to advance AI-enabled manufacturing capabilities through investments in AI-driven digital twins and related foundational data infrastructure. This will not only include improvements in participating companies' predictive and optimization capabilities, but also an ability to aggregate and transform operational and lab data for consumption by digital twins.","Basetwo Artificial Intelligence Inc., Resilience Biotechnologies Inc., Genecis Bioindustries",1.54,4.42,11/07/2023,"Toronto, ON"
Advanced Manufacturing Cluster,3D Vision Guided Robotic Assembly,"In this project, Apera and Magna will develop the necessary means to automate the latching device or vane assembly tasks. This development could enable manufacturers to automate more assembly processes, cost-effectively produce products at even smaller scale and improve their ability to enhance quality.","Apera Al Inc. (was Vancouver Computer Vision Ltd.), Stronach Centre for Innovation, a division of Magna International Inc.",1.02,2.3,03/27/2023,"Vancouver, BC"
Advanced Manufacturing Cluster,A Vertically Integrated Canadian Ecosystem for the Production of Novel Scandium Aluminum Alloys for 3-D Printing,"The goal in the project consortium is to build the foundation to allow for complete vertical integration in Canada that will deliver finished components in a wholly Canadian supply chain directly from raw ore to finished part. Upon success, this consortium will be able to supply not only Scandium as input, but specialty Scandium aluminum alloys that have been 3-D printed for a direct industrial user.","Imperial Mining Group, Fusia Groupe",0.83,2.6,03/27/2023,"Montreal, QC"
Advanced Manufacturing Cluster,Automated Defect Inspection,"This project intends to address the need to replace human visual inspection of product defects using vision technology for better accuracy and ability to recognize non-conforming quality conditions. Linamar, along with its partners, will collaborate to develop new technology that improves the overall efficiency of current operator detection methods for use on current products and potential future products.","Linamar, 2CM Innovative, AIS Technologies Group Inc.",1.28,2.89,03/27/2023,"Guelph, ON"
Advanced Manufacturing Cluster,Factory of the future,"This project aims to prove Canada's capability to build an automated factory, including handling raw material, machining, inspection, and packing by mimicking an existing factory cell but autonomously using the latest advanced manufacturing technology. The cell will act as a pilot and proof of concept that can then disseminate throughout Linamar's factories, the partners' facilities, and the rest of Canada's manufacturing ecosystem.","Linamar, ABB Robotics, Ferro Technique, Eclipse Automation, McMaster University, National Research Council Canada (NRC), University of Toronto, University of Waterloo, University of Western Ontario, Vector Institute",2.72,6.12,03/27/2023,"Guelph, ON"
Advanced Manufacturing Cluster,TaComp: Global First Advanced Process for Lightweight Part Manufacturing,The project is a world-first and includes the development of a complete process chain for components made of hybrid materials in a large-scale manufacturing process for the first time. The project aims to implement a first-of-its-kind technology in Canada enabling the supply of a new material to an OEM (Toyota) by expanding an existing business in high-strength steel structural applications (Marwood) to composite lightweight solutions.,"Marwood International Inc., Aerlyte, Dieffenbacher North America",2.49,5.76,03/27/2023,"Tillsonburg, ON"
Advanced Manufacturing Cluster,"Predictive Maintenance and AI Driven Smart Welding/Zero Downtime, Zero Defects and Output Optimization","Through this project, Polyalgorithm Machine learning (Poly ML) is working to deliver practical, affordable Zero Downtime, Zero Defect and Output-Optimized AI-driven solutions first to their manufacturing partner, and then to a broader range of Canadian manufacturers. The solutions will cover: predictive maintenance for stamping machines, split detection in stamping machines, and expulsion elimination and output optimization for resistive robotic welding","Polyalgorithm Machine Learning (Poly ML), Martinrea Automotive Inc.",0.86,1.98,03/27/2023,"Woodbridge, ON"
Advanced Manufacturing Cluster,Electro-Photonics Integrated Circuit (EPIC) Manufacturing,"Ranovus Inc. and its partner are focused on developing the advanced assembly and manufacturing process for manufacturing Electro-Photonics Integrated Circuits (EPIC) for 800Gbps Photonics Module. These modules will be sold to Hyper Scale Data Center players such as Amazon, Microsoft, Facebook, etc. in the U.S. Ranovus will jointly develop the manufacturing process for the core components and the EPIC module with Jabil Canada.","Ranovus Inc., Jabil Canada",3.47,7.8,03/27/2023,"Ottawa, ON"
Advanced Manufacturing Cluster,MixFlow Advanced AI Plastics Processing,"This project seeks to develop novel plastics processing systems based on existing IP owned by ReDeTec. This IP combines patented hardware with artificial intelligence to reduce GHG emissions, as well as increase plastic processing plant efficiencies, profitability, and recyclability of waste plastics across a variety of sectors","Redetec, Optima Colour",0.79,1.82,03/27/2023,"Toronto, ON"
Advanced Manufacturing Cluster,Large Scale Industrialization of the 'Flash Joule Heating' Graphene Manufacturing Process,"This project proposes to outline the process technology development roadmap for the scale up of the Flash Joule Heating process from its current pilot-scale stage through to the development of a fully-automated, robotically-controlled demonstration-scale facility. Through the project, the process development will include the design and engineering of the world's first commercial scale flashing station for this process technology, which will serve as the basis for future industrialization of this process at commercial scale with full advanced manufacturing functionality.","Universal Matter Inc., Cobionix Corporation, Hatch Ltd, Kinectrics Inc.",3.42,10.26,03/27/2023,"Burlington, ON"
Advanced Manufacturing Cluster,Optimizing Medical Device Remanufacturing Process,This project investigated how the use of a new IoT technology including AI could provide medical device companies (and other industry sectors) with the necessary data insights and process automation to proactively manage and supply its life-sustaining therapies to meet demand. This project supported the vision of Industry 4.0.,"Baxter, Cheme Engineering, Technology Trace",0.59,1.33,03/27/2023,"Mississauga, ON"
Advanced Manufacturing Cluster,"OMEGA - A Canadian Built, Autonomous, Intelligent Mobile Forklift for Advanced Manufacturing","The project is building a Canadian-made, self-driving, autonomous robotic forklift (OMEGA) to automate and optimize heavy material handling and workflow in a connected Industry 4.0 factory for advanced manufacturing and smart warehousing in Canada. OMEGA will create new jobs and provide Canadian manufacturers and logistics companies with productivity, cost and workflow advantages to be competitive on a global scale.","Clearpath Robotics Inc., Siemens, Conestoga College",0.7,1.58,03/27/2023,"Kitchener, ON"
Advanced Manufacturing Cluster,Quality Control and Predictive Maintenance with AI/ML,"The project applied AI/ML (Artificial Intelligence/Machine Learning) modeling, which brings cognitive decision-making capability, to significantly enhance the process of Quality Control at ASC and their car sunroof manufacturing/installation processes. The project helped to address the inspection challenge by using an intelligent quality control system through novel implementations of computer vision, AI, and systems control and integration across ASC to specifically support, enable, and enhance industry 4.0 applications.","CrossWing Solutions Inc., ASC Canada Inc.",1.26,3.22,03/27/2023,"Aurora, ON"
Advanced Manufacturing Cluster,Destination AI,"The formation of the start-up cluster, Destination AI, a new, industry led, not-for-profit vertical cluster has the potential to be a critical enabler of the growth and increased sophistication of advanced manufacturing in Canada. This group will work with industry to solve manufacturers' shop-floor and office-based problems using AI technologies, methodologies and solutions.",Destination AI,0.08,0.16,02/14/2023,Pan-Canadian
Advanced Manufacturing Cluster,Advanced Manufacturing Cluster - CME NL,"CME-NL is an existing industry association located in Newfoundland and Labrador with pan-Canadian representation in Ottawa. CME-NL worked with NGen to conceptualize, develop, and implement an applied research initiative that will illuminate ways to better support/improve the Newfoundland and Labrador manufacturing and processing sector. The aim of the project is to form a special interest group to better understand the barriers, opportunities and potential accelerants facing/available to NL in terms of best practices and technology adoption to an already struggling region.",Alliance of Manufacturers & Exporters Canada,0.04,0.08,02/14/2023,"St. John's, NL"
Advanced Manufacturing Cluster,Canadian Association of PPE Manufacturers,"The Canadian Association of PPE Manufacturers (CAPPEM) was created under this cluster building project, to ensure that Canada would never again be vulnerable to shortages of personal protective equipment during a time of pandemic or otherwise.The support of NGen to this Cluster Building project will drive the infrastructural development to establish a robust, pan-Canadian PPE manufacturing capacity. Much of the early support for this industry came from NGen's COVID-19 pivot. This cluster-building project will continue to develop an essential partnership between industry and regulators, that could also be a model approach to other emerging manufacturing sectors including electric vehicle manufacturing, particularly as related to manufacturing and sustainability.",Canadian Association of PPE Manufacturers,0.08,0.28,02/14/2023,"Cambridge, ON"
Advanced Manufacturing Cluster,CLUSTER Advanced metal machining using data,"The project involves bringing together metalworking companies and OEMs of AI & digital solutions, to develop their capabilities to work together on mutually beneficial technological advances. They will realize a collaborative project for the development of tools and digital modules specific to metal machining aiming at increasing productivity of their existing fleet of equipment. The overall objective of the project is to increase the productivity and competitiveness of metal machining companies by developing and implementing specific digital tools that can then be marketed by participating OEMs.",Reseau Trans-AI,0.08,0.16,02/14/2023,"Saguenay, QC"
Advanced Manufacturing Cluster,Canadian Additive Network - Reseau Canadien de Fabrication Additive,"This start-up cluster is creating a pan-Canadian additive manufacturing inclusive community while supporting regional mini additive clusters to be part of this community, such as Alberta Additive Manufacturing Network as well as industry sectors trying to de-risk adoption for their SME manufacturer constituents. CAN shares best practices as well as solving industry additive manufacturing challenges such as part design, accomplishing much more complicated parts than traditional subtractive manufacturing. The Canadian Additive Cluster is de-risking and connecting industry to additive manufacturing processes, technologies, materials and benefits. NGen's ecosystem of members, project companies and other clusters are collaborating with CAN to respond to advanced manufacturing needs.",Canadian Additive Network (CAN) - Reseau Canadien de Fabrication Additive,0.08,0.18,02/14/2023,Pan-Canadian
Advanced Manufacturing Cluster,Digital Twin of the Aluminum Strip Casting Process via Computational Materials Science and Big Data Analysis,"This project is designed to combine computational materials science and big data analysis to generate a comprehensive digital twin of the aluminum strip casting process, aligned with the fourth wave of industry. The project aims to address two major challenges of current technologies of continuous aluminum sheet and plate production: process design for new alloys and real-time surface inspection. This platform enables producers to 1) automatically detect/classify defects in real-time, 2) model the process progress, and 3) optimize the process via feedback to operational equipment. The success of this project will place Ontario in a unique position in the global market.","NetProCore, Ai-innovate, Hazelett CASTechnology",0.08,0.15,02/14/2023,"Kingston, ON"
Advanced Manufacturing Cluster,"Production of aluminum, iron and rare earths from bauxite residues","The production of aluminium oxide required for aluminium smelting creates a caustic sludge, known as bauxite residue (BR), which is typically stockpiled in storage ponds. INNORD has developed a process to eliminate the waste problem and thereby providing a 2nd life to the aluminum industry that is otherwise expected to close by 2047. INNORD partnered with Rio Tinto Alcan (RTA), a major aluminium producer based in Canada, to assess the techno-economic feasibility of this process. Upon success of this project, the technology will be demonstrated at the pilot scale and become available for licensing to RTA.","Innord Inc. (Geomega Resources Inc.), Rio Tinto Alcan",0.08,0.23,02/14/2023,"Boucherville, QC"
Advanced Manufacturing Cluster,Mid-scale Battery Storage system with proactive SOH maintenance feature,"The aim of this project is to improve the battery storage lifespan through a novel approach by recycling individual battery cells. In collaboration with its partner, MicroGreen Solar Corp have developed a design-and-assembly process to produce mid-scale (50kWh to 200kWh) containerized battery storage systems. The joint product will feature for the first time, a remote-monitoring system that provides battery State-of-Health (SOH) information on a continuous basis to the manufacturer.","MicroGreen Solar, Rematek-Energie",0.23,0.45,02/14/2023,"Markham, ON"
Advanced Manufacturing Cluster,Reliable Supply of New Generation Organic Semiconductors,"Raymor and Brilliant Matters (BM) have previously co-developed a lab-scale production of organic metallic ink that caught the interest of a semiconductor foundry because of its unique purity. The project aims to establish a value chain, that is able to supply a large size semiconductor fabrication plant (foundry) in organic nanotubes. This process has been tested in small batches for test applications and this project wants to bring a commercial production line of organic semiconductors in Canada with direct access to international distributors and clients.","Brilliant Matters Organic Electronics, RAYMOR INDUSTRIES",0.25,0.5,02/14/2023,"Quebec City, QC"
Advanced Manufacturing Cluster,Real-time Condition Monitoring of Component Degradation for an Electrooxidation Water Treatment Process,"The objective of this project is to use Pulsenics' in-line characterization hardware to understand the effects of new surface treatments on the industrial performance of BioLargo's electrodes, in order to inform the design and manufacturing processes of next-generation electrodes. BioLargo Water has developed a novel electrochemical reactor to disinfect and decontaminate wastewater. To address this prevalent market challenge, Pulsenics has developed a novel hardware that uses non-disruptive energy pulses to sense and understand even the most micro-level health changes on the surface of an electrode experiencing industrial conditions. This technology will be used to evaluate the manufacturing processes identified by BioLargo Water to improve their electrode health and lifetime.","Pulsenics, BioLargo Water",0.1,0.21,02/14/2023,"Toronto, ON"
Advanced Manufacturing Cluster,"Humanoid Telepresence Robots for More Safe, Efficient, and Consistent PCB Fabrication","Guidebolt will develop and integrate their new full-size-humanoid real-time-telepresence robotic system (avatar-operator technology, pilot prototype) into Candor's established printed circuit board (PCB) fabrication process to improve safety, save time, and lift consistency in steps like hazardous material handling, equipment operation, and part processing. This pilot project is a first-in-Canada opportunity to prove a successful commercial deployment of their multi-purpose humanoid telepresence robotic system with full sensor fusion and full physical ability in a compact package, pioneering a future trillion-dollar industry. The long-distance usability of avatar technology also offers significant potential to improve nation-wide economic accessibility and housing affordability along with other benefits of commute reduction.","Guidebolt, Candor Industries",0.25,0.54,02/14/2023,"Mississauga, ON"
Advanced Manufacturing Cluster,Development of a new manufacturing process for the recovery of value-added products from wastewater using advanced vacuum technologies,"Realization of a circular economy requires new manufacturing processes able to produce value-added products from wastes. USP Technologies Canada (and partners) plans on conducting a feasibility study, centered on laboratory tests and model-based analysis, to determine the viability of the new manufacturing process to accelerate the realization of a circular economy in the wastewater industry. The study is designed to confirm whether the value-added products recovered by vacuum technologies can maintain high yields and sufficient purity for circular applications (i.e., supplemental carbon for biological nutrient removal, fertilizers for agriculture, carbon-based precursors to bioplastics, etc.).","USP Technologies Canada, Brown and Caldwell Consultants Canada, Municipality of Middlesex Centre, Western University",0.1,0.29,02/14/2023,"London, ON"
Advanced Manufacturing Cluster,Made in Canada Magnesium TechTiles- Pilot Plant,"The pilot plant will be a collaborative undertaking between ZS2 Technologies, Progressive Planet, and Occam's Technologies Inc. to lead the development of a novel, proprietary Magnesium Carbonate-based Cement (MCC) that offers a holistic solution to magnesium oxide production, and a low carbon cement alternative with carbon capture and storage. Through this project, the partners will collaborate to create and advanced manufacturing space that addresses the current challenge of rapidly escalating CO2 emissions from the construction industry, specifically the cement industry.","ZS2 Technologies, Progressive Planet Solutions, Occam's Technologies",0.23,0.54,02/14/2023,"Calgary, AB"
Advanced Manufacturing Cluster,Non-disruptive monitoring of electrochemical activity to advance the state-of-the-art in electrolytic ethanol production processes,"The objective of this project is to demonstrate the application of non-disruptive capabilities of monitoring electrochemical activity for industrial-scale carbon utilization cells. In partnership with Pulsenics, this NGen project will introduce an advanced process of characterizing electrochemical system health for industrial-scale electrochemical cells that experience industrial working conditions, which would enable reliable operations for industrial applications of electrochemistry.","Pulsenics, CERT Systems",0.25,0.5,02/14/2023,"Toronto, ON"
Advanced Manufacturing Cluster,Biosurfactant Scale Up,"The purpose of this project is to be the first biosurfactant manufacturer in North America and leverage their waste-to-value production process to bring affordable, green ingredients to the market. The main objective is to scale up their production process from the bench-scale to 150L and 2000L. The project will harness the power of microbes to deliver a unique production platform to scale natural, biodegradable, and cost-effective biosurfactants. In other words, they are fossil fuel-free and palm-free alternatives to synthetic surfactants on the market. The biosurfactants can be used in diverse applications, such as cleaning products, cosmetics, agriculture, energy, and more.","Dispersa, Project Clean",0.25,0.6,02/14/2023,"Laval, QC"
Advanced Manufacturing Cluster,Automated Manufacturing for Ultrasound Transducers used in Sterile Surgery,"This project aims to automate manufacturing processes for miniaturized high-resolution ultrasound transducers, intending to make single-use transducers feasible for highly sterile surgical procedures. This project aims to reduce production costs while maintaining the safety and quality requirements necessary for developing medical devices. The results of this project will allow transducer manufacturers to develop new products that can improve surgical outcomes through greater use and provide entry to markets where costs of goods were previously prohibitive.","Daxsonics Ultrasound, Synaptive Medical",0.25,0.6,02/14/2023,"Halifax, NS"
Advanced Manufacturing Cluster,Advanced manufacturing for novel medical consumables used in proprietary pelvic diagnostic imaging system,"This project focuses on the development of advanced manufacturing of a non-compliant custom-designed balloon for colpodynamic imaging (CDI). CDI has the potential to improve urogynecological surgical planning, visual biofeedback therapy, sexual wellness and more. The benefit of this project is a lower production cost for current products, improved design variability, and manufacturing quality allowing Mui to enter regional new markets in gastroenterology while expanding product lines for novel indications.","Cosm Medical Corp, H&A Mui Enterprises",0.25,0.52,02/14/2023,"Toronto, ON"
Advanced Manufacturing Cluster,3D Printing and Semi-Automation of Advanced Manufacturing Processes for Patient-Specific Pessaries,"This project will involve integrating Cosm's current manufacturing process with learnings from Agile for custom dental and hearing to advance automation of the 3D printing process, semi-automation and quality improvement of silicone injection, coating, and post processing and development of a 100% quality control verification check pre-packaging of key dimensions against each unique patient-specific design.","Cosm Medical, Agile Manufacturing",0.25,0.5,02/14/2023,"Toronto, ON"
Advanced Manufacturing Cluster,Development of Gas Oscillation System for Superplastic Forming Process,"This project is focused on developing world leading advanced manufacturing capability in the field of superplastic forming light weight metallic aluminium, magnesium, and titanium alloys sheet panels. This Canadian-led collaboration project intends to design a state-of-the-art solution with gas oscillation system, modernizing superplastic forming tools with supersonic fluidic oscillators, advanced pressure sensors, advanced pressure controls, and data modelling to improve superplastic forming process not changed in the past five decades within the industry.","AEM Power Systems, Additive Metal Manufacturing, Macrodyne Technologies",0.25,0.5,02/14/2023,"Windsor, ON"
Advanced Manufacturing Cluster,The Development of a Robotic Solution for Building Component Prefabrication,The goal of the project was to develop and demonstrate a versatile robotic automation solution for the manufacturing of timber-framed wall panels. This project was a part of a much greater effort to help with the affordability and sustainability of residential construction in Canada by developing a scalable automation platform for the production and assembly of building components. The project aimed to achieve three objectives: 1) Develop and implement a compact robotic cell to produce variable wall panels. 2) Create an AI-assisted CAM pipeline to generate robotic control code from the building component design. 3) Develop virtual prototypes and simulation models of the robotic production processes of major building components,"ACQBuilt, Promise Robotics",0.24,0.54,02/14/2023,"Edmonton, AB"
Advanced Manufacturing Cluster,Advanced recycling technologies for single-use PPE,"This project aims to address specific supply chain and production complexities related to recycling of PPE through a multi-step, end-to-end, digitally-driven approach. This project intends to develop an advanced and novel end-to-end digital manufacturing methodology, leveraging custom proprietary software, novel hardware, and cutting-to-edge processing equipment, which will automate the process of PPE disassembly and handling to generate batches of recycling-compatible material components, resulting in marketable end-products for plastic reproduction.","MEA Health, MLD Solutions",0.25,0.5,02/14/2023,"Kitchener, ON"
Advanced Manufacturing Cluster,Advanced Manufacturing of integrated quantum dot lasers on silicon photonics,"This project aims to position Canada as a world leader in advanced manufacturing capabilities in integrated photonics. The overall objective of this pilot project is to replace the current manufacturing processes of placing mirrors, lenses, and fibers using active alignment techniques with fully passive techniques -- allowing for thousands of devices to be manufactured at the cost it would take to build a few tens of units, and thereby reducing the overall bill of material requirements and form factor.","Luxmux Technology, Dream Photonics",0.25,0.55,02/14/2023,"Calgary, AB"
Advanced Manufacturing Cluster,"Online monitoring, diagnostics and predictive analytics of critical assets in food & beverage use-case","This project aims to pilot and prove the value proposition of an online monitoring, diagnostics and predictive analytics of critical assets in the food & beverage industry use-case. This project will involve the development and testing of an advanced Internet-of-Things solution with advanced predictive maintenance and asset management capabilities, which will serve as an important 'application use-case' in the food/beverage industry within, and outside of, Canada.","Enertics, Skjodt-Barrett Foods",0.25,0.5,02/14/2023,"Brampton, ON"
Advanced Manufacturing Cluster,"Development of system for automated calibration & testing of 100% electric sidewalk robots, & moving the manufacturing of robots to Ontario","This project worked to develop a world-first, proprietary system that automates most of the end-of-production line testing process as part of sidewalk robot manufacturing. This is specifically geared towards simulated winter conditions that the sidewalk robots operate in, while plowing snow or salting sidewalks. Automated tests were designed to be performed in a cold storage environment (i.e. a 40-foot refrigerated shipping container or 'reefer' container) so that testing can be done year-round in simulated winter environments, including in heavy snow, simulated freezing rain, and snowy wind gusts.","TopHat, Clear Software Inc., Demtool Inc.",0.25,0.5,02/14/2023,"Kitchener, ON"
Advanced Manufacturing Cluster,Towards a Canadian Circular Economy: Novel Manufacturing Processes for Iron-based Coagulants from Metal Wastes for Environmental Applications,"Currently there is a need for alternative manufacturing processes to supply critical infrastructure services with the iron chemicals they need -- i.e., supplies that are more local, derived from waste products, and increase the resiliency of its end-users. The project will conduct laboratory feasibility and techno-economic studies to determine the viability of the new manufacturing processes to accelerate realization of circular economy in the wastewater industry.","USP Technologies Canada, Municipality of Middlesex Centre, Ryerson University",0.1,0.23,02/14/2023,"London, ON"
Advanced Manufacturing Cluster,Characterization of the Dimensionality of Two-Dimensional Nanomaterials,"The Project will develop a hyperspectral measurement system that would allow the existing production technique to reach a quality level sufficient enough for promising applications, like pharmaceuticals. The project combines ZEN's nanomaterials manufacturing expertise and Machinery Analytics' tech expertise to revolutionize the quality control of nanomaterials manufacturing worldwide.","Lantern Machinery Analytics, Zentek",0.1,0.2,02/14/2023,"Vancouver, BC"
Advanced Manufacturing Cluster,Feasibility Study of Manufacturing of Enersion's Tri-Generation,"Enersion has developed an innovative cooling technology that relies on nano-porous materials to convert waste heat into cooling, without the use of electrical compressors or toxic synthetic refrigerants (plain water is used instead); the system has been tested and demonstrated 83% electrical savings. The aim of this project is to develop a strategy for manufacturing scale-up by conducting feasibility studies through collaboration with academic and industry partners on producing large batches of our nano-porous materials in a cost-effective manner, and developing a production plan for various forecasted demands.","Enersion, Impact Centre",0.1,0.26,02/14/2023,"Toronto, ON"
Advanced Manufacturing Cluster,Production and recycling of nickel materials for EV batteries via carbonyl technology,"The project will investigate, on a pilot scale, the application of carbonyl technology to the extraction of nickel from 'black mass' - the metal-rich residue of recycled EV batteries, and subsequent production of high purity forms of nickel, useful as a feed material in the production of new EV batteries (nickel powder's and nickel-based porous structures). The project will involve the design and construction of a new type of reactor suitable for black mass processing and for novel methods of nickel carbonyl decomposition.","Weber Manufacturing Technologies, VPM Research",0.25,0.5,02/14/2023,"Midland, ON"
Advanced Manufacturing Cluster,First Canadian Graphene Commercial Supply Chain,"Ora Sound and Locus Manufacturing are partnering to develop the first commercial graphene-based product manufacturing in Canada for the audio industry. Ora Sound has patented a process for high-performance speaker membrane applications, leading to lower energy consumption for wireless applications, higher amplification, and much higher quality. The project will leave the capacity to bring lab processes to commercial applications both for product and manufacturing-tooling equipment for a variety of applications in Canada. It will also put Canada in the lead for developing graphene-based products.","Ora Graphene Audio, LOCUS Precision",0.25,0.5,02/14/2023,"Montreal, QC"
Advanced Manufacturing Cluster,Weston Predictive Maintenance Pilot,"The objective of this project was to develop a process that allows the assessment and monitoring the forces exerted on products during filing and packaging, with the goal of increasing productivity and reducing defects and damage. The project integrated SmartSkin Quantifeel Platform into Coke's operational capabilities, which will be the foundation for new processes that improve predictive maintenance of packaging lines. As a result, plant staff will quickly be able to identify root cause issues on packaging lines, and get alerted to potential problems before they affect product quality or result in unexpected downtime.","Smart Skin Technologies, Coca-Cola Bottling Limited Canada",0.08,0.23,02/14/2023,"Fredericton, NB"
Advanced Manufacturing Cluster,Air Cathode Pilot Production Line,"A pilot scale facility will be constructed to produce e-Zinc's proprietary air cathode devices at a yield exceeding 85%. The project will also validate the performance of these pilot-produced air cathodes in several strategic end-use applications, including: (i) e-Zinc's zinc-based energy storage system, (ii) AlumaPower's aluminium-air battery systems, and (iii) other metal-air cathode applications that would be used by companies operating in the broader advanced manufacturing ecosystem.","e-Zn, Macrodyne Technologies",0.25,0.5,02/14/2023,"Toronto, ON"
Advanced Manufacturing Cluster,Solid State Lithium Batteries,"Initial results from Electrovaya's work on solid-state batteries based around a novel lithium ion conductor shows promise for commercial fabrication. In collaboration with its partner, Electrovaya will expand these initial findings and develop pilot scale manufacturing techniques to incorporate these novel materials into multilayer pouch cells. Results from this project aim to establish Canada as a player in the rapidly expanding next-generation lithium battery market.","Electrovaya, Process Research Ortech",0.22,0.5,02/14/2023,"Mississauga, ON"
Advanced Manufacturing Cluster,Deployment of an Augmented Reality Remote In-Process Inspection Solution in Discrete Manufacturing,This project will undertake a pilot deployment of an Augmented Reality and Self-Serve Digital Twin based Remote In-Process Inspection Platform. The purpose is to incorporate the remote inspection solution into the manufacturing process at Gastops Ltd. to realize the return on investment for the manufacturer in the advanced technologies of augmented reality and self-serve digital twins.,"Interaptix, Gastops",0.08,0.17,02/14/2023,"Ottawa, ON"
Advanced Manufacturing Cluster,Innovative Process to Produce Marine Coating,"This project is developing and patenting a range of innovative underwater marine coatings based on graphene nanoparticle technology. The proposed project will allow Graphite Innovation Technologies (GIT) to prove production capacity using a novel production process which will further strengthen GIT, leading them to have a significant manufacturing advantage over competitors using traditional production methods.","Graphite Innovation Technologies, K&D Pratt",0.25,0.5,02/14/2023,"Dartmouth, NS"
Advanced Manufacturing Cluster,Low-cost Machine Vision: slashing cloud computing costs by 16x using the Distributive Compute Protocol,"Smart manufacturing processes use digital information to optimize product-, factory- and supply-chain operations. However, one of the single largest barriers to operationalizing machine vision (MV) is the cost of the digital infrastructure needed to support it, which forces manufacturers to purchase and operate high-performing computing infrastructure or expensive cloud-computing services. This project aims to produce an MV solution that costs ten times less to operationalize at scale than any other commercially available solutions and that keeps proprietary data on-premises. MV applications impact quality assurance, worker safety and real time monitoring, thereby increasing productivity. As data science and an AI-based algorithm, MV ingests video feeds to extract actionable information such as equipment degradation, personal protective equipment infractions, and safety zone violations.","Distributive Corp, Honey Vision Inc.",0.1,0.2,10/11/2022,"Kingston, ON"
Advanced Manufacturing Cluster,Global Leadership in Life Sciences by Enabling Commercial Scale Manufacture of Cell & Gene Therapies,"This project will build and set up a commercial biomanufacturing facility in Hamilton, which will supply new advanced therapies for cell and gene-based technologies or for existing products that are not currently available at a commercial scale in Canada. The project will focus on process development, advanced manufacturing platforms, analytics and regulatory development and in turn, help position Canada as a global life sciences leader.","OmniaBio Inc. (New CDMO spin-off from CFRM Enterprises), Aspect Biosystems Ltd., Canadian Advanced Therapies Training Institute, ExCellThera Inc., Morphocell Technologies Inc.",10.54,34.82,09/20/2022,"Hamilton, ON"
Advanced Manufacturing Cluster,Development of bacterial frameworks for biomanufacturing of industrial and therapeutic products,"This project aims to build a platform for rapid construction of framework strains of E. coli that can be readily adopted into commercial production of target products in gene therapy. Ministring DNA (msDNA) is a novel non-viral gene therapy technology that paves the way for personalized, redosable genetic medicine that is safe, durable, and accessible for patients worldwide. The outcomes of this collaboration represent a foundation for the scaled up production of these homegrown innovations, applied to novel products addressing high-demand food industry and biopharmaceutical needs.","Mediphage Bioceuticals Inc., Ardra Inc.",0.24,0.57,09/15/2022,"Toronto, ON"
Advanced Manufacturing Cluster,Bioplastic as an alternative to single-use plastics,"This transformative project will bring together three leaders in their respective fields to develop alternate compression blow molding technology that can effectively process. bioplastic. The desired outcome of this project will be an entirely Canadian solution: a viable biodegradable bioplastic alternative to single-use plastic, and state-of-the-art compression blow molding equipment, technology and processes, including downstream automation, such as machine vision and inspection processes, that can leverage this innovative material commercially large scale across applications.","Macrodyne Technologies Inc., Ridgetech Automation, Linear Transfer Automation Inc.",3.55,8,08/16/2022,"Vaughan, ON"
